time 2020-10-30 16:54:57
robNum  5
taskNum  10
comp_threshold  0
rob2taskDisMat  99.35793878699377 42.2965719651132 97.04638066409278 104.80935072788114 57.0 70.51950084905593 68.5054742338158 104.80935072788114 64.6297145282261 120.61509026651682 99.35793878699377 42.2965719651132 97.04638066409278 104.80935072788114 57.0 70.51950084905593 68.5054742338158 104.80935072788114 64.6297145282261 120.61509026651682 99.35793878699377 42.2965719651132 97.04638066409278 104.80935072788114 57.0 70.51950084905593 68.5054742338158 104.80935072788114 64.6297145282261 120.61509026651682 99.35793878699377 42.2965719651132 97.04638066409278 104.80935072788114 57.0 70.51950084905593 68.5054742338158 104.80935072788114 64.6297145282261 120.61509026651682 99.35793878699377 42.2965719651132 97.04638066409278 104.80935072788114 57.0 70.51950084905593 68.5054742338158 104.80935072788114 64.6297145282261 120.61509026651682
taskDisMat  0.0 74.33034373659252 80.11242100947892 7.0 66.76076692189807 54.08326913195984 38.63935817272331 36.124783736376884 56.293871780150276 28.071337695236398 74.33034373659252 0.0 55.036351623268054 81.04319835741924 66.84309986827361 30.23243291566195 36.24913792078372 67.89698078707183 67.60177512462228 88.48163651289458 80.11242100947892 55.036351623268054 0.0 86.53900854527974 111.01801655587259 35.510561809129406 53.150729063673246 49.36598018878993 107.07474025184464 75.16648189186454 7.0 81.04319835741924 86.53900854527974 0.0 69.07966415668217 61.07372593840988 45.5411901469428 41.10960958218893 58.18934610390462 28.442925306655784 66.76076692189807 66.84309986827361 111.01801655587259 69.07966415668217 0.0 75.59100475585703 60.08327554319921 91.13725912051558 11.40175425099138 94.36630754670864 54.08326913195984 30.23243291566195 35.510561809129406 61.07372593840988 75.59100475585703 0.0 18.867962264113206 38.41874542459709 71.61005515987263 61.326992425847855 38.63935817272331 36.24913792078372 53.150729063673246 45.5411901469428 60.08327554319921 18.867962264113206 0.0 36.76955262170047 54.589376255824725 53.150729063673246 36.124783736376884 67.89698078707183 49.36598018878993 41.10960958218893 91.13725912051558 38.41874542459709 36.76955262170047 0.0 82.87339742040264 26.019223662515376 56.293871780150276 67.60177512462228 107.07474025184464 58.18934610390462 11.40175425099138 71.61005515987263 54.589376255824725 82.87339742040264 0.0 84.17244204607586 28.071337695236398 88.48163651289458 75.16648189186454 28.442925306655784 94.36630754670864 61.326992425847855 53.150729063673246 26.019223662515376 84.17244204607586 0.0

rob_x  0.0 0.0 0.0 0.0 0.0
rob_y  0.0 0.0 0.0 0.0 0.0
rob_vel  1.0 1.0 1.0 1.0 1.0
rob_abi  0.0444979861939147 0.0347716057517971 0.04609891631375253 0.02256439784132557 0.03164892130024183

task_x  64.0 42.0 97.0 64.0 0.0 67.0 57.0 91.0 9.0 92.0
task_y  76.0 5.0 3.0 83.0 57.0 22.0 38.0 52.0 64.0 78.0
task_rate  0.07734211441974768 0.06281136445361868 0.06476393560536806 0.0628877891553728 0.06174548372599453 0.06881095432435004 0.06710215286345933 0.07168050211572406 0.06923208830313418 0.05306416701623352
task_init_demand  2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455
